loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,purpose,dti,delinq_2yrs,open_acc,pub_rec,revol_bal,revol_util,total_acc,loan_status,region
10000.0,60,13.97,189.95,B,B3,2,MORTGAGE,40200.0,debt_consolidation,12.77,0,7,0,1972.58,95.05,13,Charged Off,West
2800.0,60,29.13,60.26,F,F4,3,OWN,16400.0,credit_card,11.33,1,8,0,25472.0,7.01,9,Charged Off,West
37900.0,60,22.45,773.48,D,D3,9,RENT,44100.0,small_business,34.43,0,21,0,36984.12,69.97,23,Charged Off,Northeast
13200.0,36,18.27,433.66,C,C1,1,RENT,85500.0,debt_consolidation,16.87,0,7,0,11001.79,11.43,11,Fully Paid,West
18300.0,36,29.22,656.87,A,A5,10,RENT,70900.0,credit_card,13.56,1,13,0,4971.52,89.8,21,Fully Paid,South
5500.0,36,27.58,194.91,A,A3,9,MORTGAGE,67100.0,major_purchase,24.14,0,8,0,14260.73,14.21,17,Charged Off,Midwest
33600.0,60,17.8,659.68,A,A2,1,RENT,47100.0,debt_consolidation,8.78,2,11,0,579.34,99.15,23,Fully Paid,Northeast
2100.0,60,27.64,44.67,E,E5,6,OWN,28600.0,credit_card,9.2,0,8,1,35773.59,42.78,20,Fully Paid,South
33500.0,36,15.11,1071.16,C,C5,1,MORTGAGE,70100.0,debt_consolidation,20.81,0,16,1,7303.42,38.19,19,Fully Paid,Northeast
6500.0,36,10.76,199.98,D,D3,0,MORTGAGE,35700.0,credit_card,16.37,0,22,1,36182.45,58.63,29,Charged Off,Northeast
35600.0,60,10.82,657.53,A,A3,3,MORTGAGE,161500.0,major_purchase,11.8,0,3,0,11727.4,39.44,13,Fully Paid,West
29500.0,60,21.56,597.67,G,G1,5,MORTGAGE,72100.0,debt_consolidation,2.16,0,9,0,49603.11,23.47,16,Fully Paid,Midwest
7400.0,36,17.53,241.59,E,E2,9,MORTGAGE,40500.0,small_business,20.83,0,18,0,26589.77,62.91,27,Fully Paid,South
23100.0,60,21.47,467.66,B,B3,9,MORTGAGE,39900.0,debt_consolidation,32.66,0,17,0,2066.94,72.84,20,Fully Paid,Northeast
13200.0,36,22.15,447.88,B,B1,3,MORTGAGE,51700.0,debt_consolidation,34.06,0,14,0,38633.94,94.53,24,Fully Paid,Northeast
8000.0,36,5.56,234.58,B,B3,0,MORTGAGE,48100.0,credit_card,9.42,0,19,0,20504.51,40.91,22,Fully Paid,West
34500.0,36,6.35,1019.19,B,B5,0,MORTGAGE,94700.0,small_business,23.99,1,22,0,30366.06,70.58,23,Fully Paid,South
16700.0,36,18.32,548.87,C,C5,8,OWN,59500.0,debt_consolidation,34.24,0,5,0,47560.66,83.36,12,Fully Paid,West
